Date,Value,RequestDateTime
2024-06-15,140.21,2024-07-15 17:55:53
2024-06-16,326.68,2024-07-15 17:55:54
2024-06-17,505.02,2024-07-15 17:55:55
2024-06-18,678.53,2024-07-15 17:55:57
2024-06-19,981.40,2024-07-15 17:55:58
2024-06-20,112.78,2024-07-15 17:55:59
2024-06-21,650.35,2024-07-15 17:56:01
2024-06-22,322.34,2024-07-15 17:56:02
2024-06-23,82.00,2024-07-15 17:56:03
2024-06-24,302.82,2024-07-15 17:56:05
2024-06-25,871.41,2024-07-15 17:56:06
2024-06-26,32.39,2024-07-15 17:56:07
2024-06-27,914.11,2024-07-15 17:56:09
2024-06-28,231.83,2024-07-15 17:56:10
2024-06-29,441.59,2024-07-15 17:56:11
2024-06-30,5.08,2024-07-15 17:56:13
2024-07-01,155.30,2024-07-15 17:56:14
2024-07-02,639.59,2024-07-15 17:56:15
2024-07-03,465.26,2024-07-15 17:56:17
2024-07-04,561.97,2024-07-15 17:56:18
2024-07-05,431.06,2024-07-15 17:56:19
2024-07-06,605.75,2024-07-15 17:56:21
2024-07-07,431.69,2024-07-15 17:56:22
2024-07-08,785.04,2024-07-15 17:56:23
2024-07-09,574.00,2024-07-15 17:56:25
2024-07-10,349.04,2024-07-15 17:56:26
2024-07-11,834.68,2024-07-15 17:56:27
2024-07-12,578.85,2024-07-15 17:56:29
2024-07-13,459.56,2024-07-15 17:56:30
2024-07-14,510.50,2024-07-15 17:56:31
2024-07-15,422.64,2024-07-15 17:56:33
